date; machine; nvilles; graine; nthreads; longueur; temps; coupures
Wed Dec 10 23:54:59 2014;Mathieu-VirtualBox;15;12387;1;328;119.447497;2939486
Wed Dec 10 23:54:59 2014;Mathieu-VirtualBox;16;12387;1;343;285.247756;7011570
Wed Dec 10 23:54:59 2014;Mathieu-VirtualBox;17;12387;1;353;1181.144628;30185190
Wed Dec 10 23:55:00 2014;Mathieu-VirtualBox;18;12387;1;356;6684.345903;171233238
Wed Dec 10 23:55:07 2014;Mathieu-VirtualBox;15;12388;1;286;3923.256703;86610798
Wed Dec 10 23:55:11 2014;Mathieu-VirtualBox;16;12388;1;319;17270.558857;380068361
Wed Dec 10 23:55:28 2014;Mathieu-VirtualBox;17;12388;1;322;34143.641379;778027534
Wed Dec 10 23:56:02 2014;Mathieu-VirtualBox;18;12388;1;332;70502.316322;1674660894
Wed Dec 10 23:57:13 2014;Mathieu-VirtualBox;15;12387;2;328;119.833747;2939486
Wed Dec 10 23:57:13 2014;Mathieu-VirtualBox;16;12387;2;343;295.238802;7011570
Wed Dec 10 23:57:13 2014;Mathieu-VirtualBox;17;12387;2;353;1176.888900;30185190
Wed Dec 10 23:57:14 2014;Mathieu-VirtualBox;18;12387;2;356;6706.684586;171233238
Wed Dec 10 23:57:21 2014;Mathieu-VirtualBox;15;12388;2;286;3988.635718;86610798
Wed Dec 10 23:57:25 2014;Mathieu-VirtualBox;16;12388;2;319;17437.875588;380068361
Wed Dec 10 23:57:42 2014;Mathieu-VirtualBox;17;12388;2;322;34200.30872;778027534
Wed Dec 10 23:58:17 2014;Mathieu-VirtualBox;18;12388;2;332;70628.692985;1674660894
Wed Dec 10 23:59:27 2014;Mathieu-VirtualBox;15;12387;4;328;119.148023;2939486
Wed Dec 10 23:59:27 2014;Mathieu-VirtualBox;16;12387;4;343;293.298450;7011570
Wed Dec 10 23:59:28 2014;Mathieu-VirtualBox;17;12387;4;353;1187.691781;30185190
Wed Dec 10 23:59:29 2014;Mathieu-VirtualBox;18;12387;4;356;6659.275342;171233238
Wed Dec 10 23:59:36 2014;Mathieu-VirtualBox;15;12388;4;286;3912.672096;86610798
Wed Dec 10 23:59:39 2014;Mathieu-VirtualBox;16;12388;4;319;17030.750305;380068361
Wed Dec 10 23:59:56 2014;Mathieu-VirtualBox;17;12388;4;322;34271.730262;778027534
Thu Dec 11 00:00:31 2014;Mathieu-VirtualBox;18;12388;4;332;70729.994771;1674660894
Thu Dec 11 00:01:41 2014;Mathieu-VirtualBox;15;12387;8;328;121.8832;2939486
Thu Dec 11 00:01:42 2014;Mathieu-VirtualBox;16;12387;8;343;284.716524;7011570
Thu Dec 11 00:01:42 2014;Mathieu-VirtualBox;17;12387;8;353;1192.738576;30185190
Thu Dec 11 00:01:43 2014;Mathieu-VirtualBox;18;12387;8;356;6830.406032;171233238
Thu Dec 11 00:01:50 2014;Mathieu-VirtualBox;15;12388;8;286;3928.863245;86610798
Thu Dec 11 00:01:54 2014;Mathieu-VirtualBox;16;12388;8;319;17170.373163;380068361
Thu Dec 11 00:02:11 2014;Mathieu-VirtualBox;17;12388;8;322;34110.880031;778027534
Thu Dec 11 00:02:45 2014;Mathieu-VirtualBox;18;12388;8;332;70380.436874;1674660894
Thu Dec 11 00:03:56 2014;Mathieu-VirtualBox;15;12387;16;328;168.209593;2939486
Thu Dec 11 00:03:56 2014;Mathieu-VirtualBox;16;12387;16;343;295.631858;7011570
Thu Dec 11 00:03:56 2014;Mathieu-VirtualBox;17;12387;16;353;1185.231978;30185190
Thu Dec 11 00:03:57 2014;Mathieu-VirtualBox;18;12387;16;356;6719.279421;171233238
Thu Dec 11 00:04:04 2014;Mathieu-VirtualBox;15;12388;16;286;3901.845101;86610798
Thu Dec 11 00:04:08 2014;Mathieu-VirtualBox;16;12388;16;319;17085.506523;380068361
Thu Dec 11 00:04:25 2014;Mathieu-VirtualBox;17;12388;16;322;34082.776694;778027534
Thu Dec 11 00:04:59 2014;Mathieu-VirtualBox;18;12388;16;332;70371.683404;1674660894
Thu Dec 11 00:06:09 2014;Mathieu-VirtualBox;15;12387;32;328;121.540681;2939486
Thu Dec 11 00:06:10 2014;Mathieu-VirtualBox;16;12387;32;343;283.221291;7011570
Thu Dec 11 00:06:10 2014;Mathieu-VirtualBox;17;12387;32;353;1176.73956;30185190
Thu Dec 11 00:06:11 2014;Mathieu-VirtualBox;18;12387;32;356;6717.820520;171233238
Thu Dec 11 00:06:18 2014;Mathieu-VirtualBox;15;12388;32;286;3902.776104;86610798
Thu Dec 11 00:06:22 2014;Mathieu-VirtualBox;16;12388;32;319;17142.653837;380068361
Thu Dec 11 00:06:39 2014;Mathieu-VirtualBox;17;12388;32;322;34330.333142;778027534
Thu Dec 11 00:07:13 2014;Mathieu-VirtualBox;18;12388;32;332;70799.342421;1674660894
Thu Dec 11 00:08:24 2014;Mathieu-VirtualBox;15;12387;64;328;119.967407;2939486
Thu Dec 11 00:08:24 2014;Mathieu-VirtualBox;16;12387;64;343;286.989691;7011570
Thu Dec 11 00:08:24 2014;Mathieu-VirtualBox;17;12387;64;353;1234.129660;30185190
Thu Dec 11 00:08:26 2014;Mathieu-VirtualBox;18;12387;64;356;6690.544574;171233238
Thu Dec 11 00:08:32 2014;Mathieu-VirtualBox;15;12388;64;286;3900.798447;86610798
Thu Dec 11 00:08:36 2014;Mathieu-VirtualBox;16;12388;64;319;17091.585967;380068361
Thu Dec 11 00:08:53 2014;Mathieu-VirtualBox;17;12388;64;322;34427.723457;778027534
Thu Dec 11 00:09:28 2014;Mathieu-VirtualBox;18;12388;64;332;70602.67882;1674660894
